004  00175 |Loss: 0.034 | Acc: 98.000% 
004  00176 |Loss: 0.032 | Acc: 98.000% 
004  00177 |Loss: 0.062 | Acc: 97.000% 
004  00178 |Loss: 0.087 | Acc: 95.000% 
004  00179 |Loss: 0.081 | Acc: 96.000% 
004  00180 |Loss: 0.077 | Acc: 96.000% 
004  00181 |Loss: 0.073 | Acc: 96.000% 
004  00182 |Loss: 0.069 | Acc: 97.000% 
004  00183 |Loss: 0.071 | Acc: 97.000% 
004  00184 |Loss: 0.069 | Acc: 97.000% 
004  00185 |Loss: 0.066 | Acc: 97.000% 
004  00186 |Loss: 0.062 | Acc: 97.000% 
004  00187 |Loss: 0.061 | Acc: 97.000% 
004  00188 |Loss: 0.058 | Acc: 97.000% 
004  00189 |Loss: 0.056 | Acc: 98.000% 
004  00190 |Loss: 0.054 | Acc: 98.000% 
004  00191 |Loss: 0.052 | Acc: 98.000% 
004  00192 |Loss: 0.049 | Acc: 98.000% 
004  00193 |Loss: 0.047 | Acc: 98.000% 
004  00194 |Loss: 0.046 | Acc: 98.000% 
004  00195 |Loss: 0.044 | Acc: 98.000% 
004  00196 |Loss: 0.042 | Acc: 98.000% 
004  00197 |Loss: 0.041 | Acc: 98.000% 
004  00198 |Loss: 0.040 | Acc: 98.000% 
004  00199 |Loss: 0.039 | Acc: 98.000% 
004  00200 |Loss: 0.037 | Acc: 98.000% 
004  00201 |Loss: 0.036 | Acc: 98.000% 
004  00202 |Loss: 0.035 | Acc: 98.000% 
004  00203 |Loss: 0.034 | Acc: 98.000% 
004  00204 |Loss: 0.033 | Acc: 98.000% 
004  00205 |Loss: 0.032 | Acc: 98.000% 
004  00206 |Loss: 0.032 | Acc: 99.000% 
004  00207 |Loss: 0.031 | Acc: 99.000% 
004  00208 |Loss: 0.030 | Acc: 99.000% 
004  00209 |Loss: 0.030 | Acc: 99.000% 
004  00210 |Loss: 0.029 | Acc: 99.000% 
004  00211 |Loss: 0.028 | Acc: 99.000% 
004  00212 |Loss: 0.027 | Acc: 99.000% 
004  00213 |Loss: 0.027 | Acc: 99.000% 
004  00214 |Loss: 0.026 | Acc: 99.000% 
004  00215 |Loss: 0.026 | Acc: 99.000% 
004  00216 |Loss: 0.025 | Acc: 99.000% 
004  00217 |Loss: 0.025 | Acc: 99.000% 
004  00218 |Loss: 0.024 | Acc: 99.000% 
004  00219 |Loss: 0.024 | Acc: 99.000% 
004  00220 |Loss: 0.023 | Acc: 99.000% 
004  00221 |Loss: 0.023 | Acc: 99.000% 
004  00222 |Loss: 0.022 | Acc: 99.000% 
004  00223 |Loss: 0.022 | Acc: 99.000% 
004  00224 |Loss: 0.021 | Acc: 99.000% 
004  00225 |Loss: 0.021 | Acc: 99.000% 
004  00226 |Loss: 0.021 | Acc: 99.000% 
004  00227 |Loss: 0.020 | Acc: 99.000% 
004  00228 |Loss: 0.020 | Acc: 99.000% 
005  00229 |Loss: 0.000 | Acc: 100.000% 
005  00230 |Loss: 0.001 | Acc: 100.000% 
005  00231 |Loss: 0.001 | Acc: 100.000% 
005  00232 |Loss: 0.001 | Acc: 100.000% 
005  00233 |Loss: 0.001 | Acc: 100.000% 
005  00234 |Loss: 0.001 | Acc: 100.000% 
005  00235 |Loss: 0.001 | Acc: 100.000% 
005  00236 |Loss: 0.001 | Acc: 100.000% 
005  00237 |Loss: 0.001 | Acc: 100.000% 
005  00238 |Loss: 0.001 | Acc: 100.000% 
005  00239 |Loss: 0.001 | Acc: 100.000% 
005  00240 |Loss: 0.001 | Acc: 100.000% 
005  00241 |Loss: 0.001 | Acc: 100.000% 
005  00242 |Loss: 0.001 | Acc: 100.000% 
005  00243 |Loss: 0.001 | Acc: 100.000% 
005  00244 |Loss: 0.001 | Acc: 100.000% 
005  00245 |Loss: 0.001 | Acc: 100.000% 
005  00246 |Loss: 0.001 | Acc: 100.000% 
005  00247 |Loss: 0.001 | Acc: 100.000% 
005  00248 |Loss: 0.001 | Acc: 100.000% 
005  00249 |Loss: 0.001 | Acc: 100.000% 
005  00250 |Loss: 0.001 | Acc: 100.000% 
005  00251 |Loss: 0.001 | Acc: 100.000% 
005  00252 |Loss: 0.001 | Acc: 100.000% 
005  00253 |Loss: 0.001 | Acc: 100.000% 
005  00254 |Loss: 0.001 | Acc: 100.000% 
005  00255 |Loss: 0.001 | Acc: 100.000% 
005  00256 |Loss: 0.001 | Acc: 100.000% 
005  00257 |Loss: 0.001 | Acc: 100.000% 
005  00258 |Loss: 0.001 | Acc: 100.000% 
005  00259 |Loss: 0.001 | Acc: 100.000% 
005  00260 |Loss: 0.001 | Acc: 100.000% 
005  00261 |Loss: 0.001 | Acc: 100.000% 
005  00262 |Loss: 0.001 | Acc: 100.000% 
005  00263 |Loss: 0.001 | Acc: 100.000% 
005  00264 |Loss: 0.001 | Acc: 100.000% 
005  00265 |Loss: 0.001 | Acc: 100.000% 
005  00266 |Loss: 0.001 | Acc: 100.000% 
005  00267 |Loss: 0.001 | Acc: 100.000% 
005  00268 |Loss: 0.001 | Acc: 100.000% 
005  00269 |Loss: 0.001 | Acc: 100.000% 
005  00270 |Loss: 0.001 | Acc: 100.000% 
005  00271 |Loss: 0.001 | Acc: 100.000% 
005  00272 |Loss: 0.001 | Acc: 100.000% 
005  00273 |Loss: 0.001 | Acc: 100.000% 
005  00274 |Loss: 0.001 | Acc: 100.000% 
005  00275 |Loss: 0.001 | Acc: 100.000% 
005  00276 |Loss: 0.001 | Acc: 100.000% 
005  00277 |Loss: 0.001 | Acc: 100.000% 
005  00278 |Loss: 0.001 | Acc: 100.000% 
005  00279 |Loss: 0.001 | Acc: 100.000% 
005  00280 |Loss: 0.001 | Acc: 100.000% 
005  00281 |Loss: 0.001 | Acc: 100.000% 
005  00282 |Loss: 0.001 | Acc: 100.000% 
005  00283 |Loss: 0.001 | Acc: 100.000% 
005  00284 |Loss: 0.001 | Acc: 100.000% 
005  00285 |Loss: 0.001 | Acc: 100.000% 
006  00286 |Loss: 0.000 | Acc: 100.000% 
006  00287 |Loss: 0.000 | Acc: 100.000% 
006  00288 |Loss: 0.000 | Acc: 100.000% 
006  00289 |Loss: 0.000 | Acc: 100.000% 
006  00290 |Loss: 0.000 | Acc: 100.000% 
006  00291 |Loss: 0.000 | Acc: 100.000% 
006  00292 |Loss: 0.000 | Acc: 100.000% 
006  00293 |Loss: 0.001 | Acc: 100.000% 
006  00294 |Loss: 0.001 | Acc: 100.000% 
006  00295 |Loss: 0.000 | Acc: 100.000% 
006  00296 |Loss: 0.001 | Acc: 100.000% 
006  00297 |Loss: 0.000 | Acc: 100.000% 
006  00298 |Loss: 0.001 | Acc: 100.000% 
006  00299 |Loss: 0.001 | Acc: 100.000% 
006  00300 |Loss: 0.001 | Acc: 100.000% 
006  00301 |Loss: 0.001 | Acc: 100.000% 
006  00302 |Loss: 0.001 | Acc: 100.000% 
006  00303 |Loss: 0.001 | Acc: 100.000% 
006  00304 |Loss: 0.001 | Acc: 100.000% 
006  00305 |Loss: 0.001 | Acc: 100.000% 
006  00306 |Loss: 0.001 | Acc: 100.000% 
006  00307 |Loss: 0.001 | Acc: 100.000% 
006  00308 |Loss: 0.001 | Acc: 100.000% 
006  00309 |Loss: 0.001 | Acc: 100.000% 
006  00310 |Loss: 0.001 | Acc: 100.000% 
006  00311 |Loss: 0.001 | Acc: 100.000% 
006  00312 |Loss: 0.001 | Acc: 100.000% 
006  00313 |Loss: 0.001 | Acc: 100.000% 
006  00314 |Loss: 0.001 | Acc: 100.000% 
006  00315 |Loss: 0.001 | Acc: 100.000% 
006  00316 |Loss: 0.001 | Acc: 100.000% 
006  00317 |Loss: 0.001 | Acc: 100.000% 
006  00318 |Loss: 0.001 | Acc: 100.000% 
006  00319 |Loss: 0.001 | Acc: 100.000% 
006  00320 |Loss: 0.001 | Acc: 100.000% 
006  00321 |Loss: 0.001 | Acc: 100.000% 
006  00322 |Loss: 0.001 | Acc: 100.000% 
006  00323 |Loss: 0.001 | Acc: 100.000% 
006  00324 |Loss: 0.001 | Acc: 100.000% 
006  00325 |Loss: 0.001 | Acc: 100.000% 
006  00326 |Loss: 0.001 | Acc: 100.000% 
006  00327 |Loss: 0.001 | Acc: 100.000% 
006  00328 |Loss: 0.001 | Acc: 100.000% 
006  00329 |Loss: 0.001 | Acc: 100.000% 
006  00330 |Loss: 0.001 | Acc: 100.000% 
006  00331 |Loss: 0.001 | Acc: 100.000% 
006  00332 |Loss: 0.001 | Acc: 100.000% 
